Ciudad,Temperatura,Humedad,Presión,Viento,Descripción,FechaHora
Bogota,17.14,66,1014,2.24,broken clouds,22/12/2025 11:24:49
Medellín,21.32,73,1013,2.06,broken clouds,22/12/2025 11:30:01
Santiago de Cali,28,57,1012,1.54,scattered clouds,22/12/2025 11:27:28
Barranquilla,30.88,66,1010,3.6,few clouds,22/12/2025 11:30:58
Cartagena,31.79,62,1010,1.03,few clouds,22/12/2025 11:34:05
Cúcuta,27.97,65,1013,3.6,scattered clouds,22/12/2025 11:34:12
Bucaramanga,26.73,65,1013,2.06,scattered clouds,22/12/2025 11:30:59
Pereira,23.4,69,1013,2.06,scattered clouds,22/12/2025 11:32:17
Manizales,17.19,87,1015,2.06,overcast clouds,22/12/2025 11:29:48
Armenia,22.58,69,1013,1.03,scattered clouds,22/12/2025 11:32:45
Santa Marta,29.94,70,1010,2.06,broken clouds,22/12/2025 11:34:13
Riohacha,31.06,58,1011,7.72,scattered clouds,22/12/2025 11:34:14
Valledupar,31.83,45,1010,7.72,clear sky,22/12/2025 11:34:14
Montería,30.95,66,1010,1.03,few clouds,22/12/2025 11:31:10
Sincelejo,29.77,64,1010,2.34,broken clouds,22/12/2025 11:33:18
Neiva,27.11,69,1011,2.68,haze,22/12/2025 11:32:28
Florencia,31.59,55,1011,2.06,few clouds,22/12/2025 11:34:17
Popayán,18.77,90,1015,0.59,overcast clouds,22/12/2025 11:29:37
Pasto,11.09,96,1017,0.73,light rain,22/12/2025 11:29:23
Mocoa,24.46,73,1012,0.3,overcast clouds,22/12/2025 11:34:18
Tunja,16.2,51,1012,0.45,few clouds,22/12/2025 11:31:09
Yopal,32.1,32,1009,3.72,scattered clouds,22/12/2025 11:34:18
Villavicencio,30.73,59,1011,2.55,scattered clouds,22/12/2025 11:34:18
Leticia,29.03,89,1008,2.06,scattered clouds,22/12/2025 11:34:19
San Andrés,30.01,66,1014,5.66,few clouds,22/12/2025 11:34:05
Quibdó,26.19,94,1010,2.57,drizzle,22/12/2025 11:34:19
Mitú,33.11,43,1008,2.33,scattered clouds,22/12/2025 11:34:19
Puerto Carreño,31.99,55,1009,6.17,few clouds,22/12/2025 11:34:20
Inírida,34.57,42,1008,1.71,clear sky,22/12/2025 11:34:20
Bogota,17.14,63,1013,2.24,broken clouds,22/12/2025 11:30:42
Medellín,21.28,72,1012,2.06,broken clouds,22/12/2025 11:34:20
Santiago de Cali,28,57,1012,1.54,scattered clouds,22/12/2025 11:27:28
Barranquilla,30.88,66,1010,3.6,few clouds,22/12/2025 11:33:04
Cartagena,31.79,62,1010,1.03,few clouds,22/12/2025 11:34:05
Cúcuta,27.97,65,1013,3.6,scattered clouds,22/12/2025 11:35:35
Bucaramanga,26.73,65,1013,2.06,scattered clouds,22/12/2025 11:32:47
Pereira,23.4,69,1013,2.06,scattered clouds,22/12/2025 11:35:36
Manizales,16.91,87,1015,2.06,overcast clouds,22/12/2025 11:35:36
Armenia,22.58,69,1013,1.03,scattered clouds,22/12/2025 11:32:45
Santa Marta,29.94,70,1010,2.06,broken clouds,22/12/2025 11:35:37
Riohacha,31.06,58,1011,7.72,scattered clouds,22/12/2025 11:35:37
Valledupar,31.83,45,1010,7.72,clear sky,22/12/2025 11:35:38
Montería,30.95,66,1010,1.03,few clouds,22/12/2025 11:31:10
Sincelejo,29.77,64,1010,2.34,broken clouds,22/12/2025 11:35:38
Neiva,27.11,69,1011,2.68,haze,22/12/2025 11:32:51
Florencia,31.59,55,1011,2.06,few clouds,22/12/2025 11:34:24
Popayán,18.77,90,1015,0.59,overcast clouds,22/12/2025 11:29:37
Pasto,11.09,95,1016,0.8,light rain,22/12/2025 11:35:40
Mocoa,24.46,73,1012,0.3,overcast clouds,22/12/2025 11:35:40
Tunja,16.26,50,1012,0.45,few clouds,22/12/2025 11:35:41
Yopal,32.1,32,1009,3.72,scattered clouds,22/12/2025 11:35:02
Villavicencio,30.73,59,1011,2.55,scattered clouds,22/12/2025 11:34:18
Leticia,29.03,89,1008,2.06,scattered clouds,22/12/2025 11:34:19
San Andrés,30.01,66,1014,5.66,few clouds,22/12/2025 11:34:05
Quibdó,26.19,94,1010,2.57,drizzle,22/12/2025 11:35:43
Mitú,33.11,43,1008,2.33,scattered clouds,22/12/2025 11:34:19
Puerto Carreño,31.99,55,1009,6.17,few clouds,22/12/2025 11:34:20
Inírida,34.57,42,1008,1.71,clear sky,22/12/2025 11:34:20
Bogota,17.14,66,1014,2.24,broken clouds,22/12/2025 11:27:11
Medellín,21.28,72,1012,2.06,broken clouds,22/12/2025 11:36:11
Santiago de Cali,28,57,1011,1.54,scattered clouds,22/12/2025 11:36:33
Barranquilla,30.88,66,1010,3.6,few clouds,22/12/2025 11:36:03
Cartagena,31.79,62,1010,1.03,few clouds,22/12/2025 11:34:46
Cúcuta,27.97,65,1013,3.6,scattered clouds,22/12/2025 11:33:41
Bucaramanga,26.73,65,1013,2.06,scattered clouds,22/12/2025 11:36:34
Pereira,23.4,69,1013,2.06,scattered clouds,22/12/2025 11:32:17
Manizales,17.19,87,1015,2.06,overcast clouds,22/12/2025 11:29:48
